项目编码,项目名称,专业,分包类型,产值
U_ORG_XM_AHWHYJSYY,安徽芜湖皖南医学院弋矶山医院,机电,指定,4518081.96
U_ORG_XM_AHZWCF,安徽忠旺厂房,机电,指定,0
U_ORG_XM_AJXXZSDCBDXMP4BD,埃及新行政首都CBD项目P4标段,机电,指定,0
U_ORG_XM_ASJGS,鞍山市公安局监管场所新建,机电,指定,0
U_ORG_XM_BDFZJXL,北京大学新建附属中学北校区综合教学楼,机电,指定,-99259.55
U_ORG_XM_BDKYL,北京大学教学科研楼,机电,指定,365533.46
U_ORG_XM_BDTSGGZ,北京大学图书馆改造,机电,指定,0
U_ORG_XM_BJAN4D,北京奥南4#地,机电,指定,0
U_ORG_XM_BJAZKYL,北京A座科研楼,机电,指定,0
U_ORG_XM_BJCBDSYJR,北京市CBD核心区Z2b地块商业金融,机电,指定,0
U_ORG_XM_BJDCBGLGKJ,北京东城办公楼改扩建,机电,指定,38215395.39
U_ORG_XM_BJDXHXYEQDL,北京大学化学学院E区大楼,机电,指定,0
U_ORG_XM_BJFSHFZYGY,北京房山华发中央公园,机电,指定,0
U_ORG_XM_BJFSLHXYTJ,北京房山龙湖熙悦天街,机电,指定,0
U_ORG_XM_BJFZDSZX,北京凤展大厦装修工程,机电,指定,0
U_ORG_XM_BJFZKYLJD,北京纺织科研楼实验楼机电,机电,指定,0
U_ORG_XM_BJGAZXGZ,北京港澳中心改造,机电,指定,36335901.4
U_ORG_XM_BJGJKJCBZX,北京国家科技传播中心,机电,指定,9132528.58
U_ORG_XM_BJGLYSQ03_31,北京高丽营三期03-31地块,机电,指定,0
U_ORG_XM_BJGMGYGZ,北京国贸公寓改造,机电,指定,670975.81
U_ORG_XM_BJHLDS,北京华力国际大厦,机电,指定,0
U_ORG_XM_BJHPC,北京和平村,机电,指定,0
U_ORG_XM_BJHQDJQJT,北京环球度假区（集团）,机电,指定,0
U_ORG_XM_BJHQGYDJQ,北京环球度假区,机电,指定,2000000
U_ORG_XM_BJHQNYZX,北京环球能源中心,机电,指定,7458100.06
U_ORG_XM_BJHQZTGY,北京环球主题公园,机电,指定,918534.58
U_ORG_XM_BJHRZGCCZZ,北京怀柔张各长村住宅,机电,指定,9870015.26
U_ORG_XM_BJHSMZXGZ,北京火神庙商业中心改造,机电,指定,0
U_ORG_XM_BJJCBDT,北京精测半导体设备及准分子激光器,机电,指定,0
U_ORG_XM_BJJGMBGLGJ,北京建国门办公楼改建工程,机电,指定,17317909.55
U_ORG_XM_BJKTDX,北京凯特大厦,机电,指定,-16074536.53
U_ORG_XM_BJLZJRSWQ,北京丽泽金融商务区E-13、E-14地块,机电,指定,0
U_ORG_XM_BJLZJRSWQJ,北京丽泽金融商务区E区13、14地块项目[局集团],机电,指定,2616853.26
U_ORG_XM_BJNHHS,北京新机场南航航空食品设施,机电,指定,0
U_ORG_XM_BJODBSMZX,北京欧德宝商贸中心,机电,指定,0
U_ORG_XM_BJPAE05DK,北京平安金融中心E05地块,机电,指定,1454655.48
U_ORG_XM_BJQMCQGZ,北京前门B2B3地块重启后改造工程,机电,指定,0
U_ORG_XM_BJSKWKJD,北京首开万科天地机电,机电,指定,0
U_ORG_XM_BJSMYJSKJ,北京生命科学研究所扩建,机电,指定,1715596.33
U_ORG_XM_BJSYHSYGYCQF,北京顺义后沙峪共有产权房,机电,指定,58127162.39
U_ORG_XM_BJSYMTZ,北京顺义马头庄,机电,指定,1021361.83
U_ORG_XM_BJTGLGZ,北京太古里改造,机电,指定,6128443.23
U_ORG_XM_BJTKSQ,北京泰康之家燕园三期,机电,指定,16973591.45
U_ORG_XM_BJTLDYQ,北京天利德一期厂房,机电,指定,0
U_ORG_XM_BJTZWG,北京通州网络安全技术研发厂房,机电,指定,0
U_ORG_XM_BJWJBGLSQ,北京望京办公楼三期,机电,指定,246383.52
U_ORG_XM_BJWKFCGYJD,北京万科翡翠公园机电,机电,指定,0
U_ORG_XM_BJWKQXS,北京万科七橡墅,机电,指定,0
U_ORG_XM_BJWKWX,北京万科望溪,机电,指定,0
U_ORG_XM_BJWKZYC,北京祥筑万科长阳中央城,机电,指定,0
U_ORG_XM_BJWLCXX,北京未来城学校,机电,指定,0
U_ORG_XM_BJWLCXXZB,北京未来城学校总承包,机电,指定,27392104.19
U_ORG_XM_BJXHBX,北京新华保险大厦改造,机电,指定,0
U_ORG_XM_BJXHFTFKT,北京西华府商办楼通风空调工程,机电,指定,0
U_ORG_XM_BJXJCGL,北京新机场道路及综合管廊,机电,指定,0
U_ORG_XM_BJXSJDAZF,北京香山军队安置房,机电,指定,7560695.82
U_ORG_XM_BJXXCXY,中国电信北京信息科技创新园工程,机电,指定,0
U_ORG_XM_BJXXCXYEQ,中国电信北京信息科技创新园科研数据中心,机电,指定,17772413.16
U_ORG_XM_BJXYDHLWJD,北京新一代互联网云计算产创基地机电,机电,指定,0
U_ORG_XM_BJYABGZX,北京永安宾馆装修,机电,指定,135586.24
U_ORG_XM_BJYCCF,北京盈创2#厂房等5项,机电,指定,0
