项目名称,专业,分包类型,【本年目标产值】,【商务本年产值】,【商务本年产值含税】,【商务产值完成进度】,【本年目标收益】,【商务本年核定收益】,【商务成本降低额】,【商务本年总收益】,【平均实现收益率】,【商务本年收益完成进度】,【商务本年收益完成进度（不含降低）】
北京太古里改造,土建,自施,16334978.22,656932.14,721767.7995412637,4.02%,1481876.86,57741.42,6612307.08,6670048.50,1015.33%,450.11%,3.90%
重庆华熙LIVE·鱼洞体育馆,土建,自施,0.00,1365683.55,1406654.0557450778,,0.00,70332.70,6579600.00,6649932.70,486.93%,,
无锡中关村软件园太湖分园二期,机电,自施,149663.82,1178151.56,1307748.22818563,787.20%,924836.84,78464.89,5558400.00,5636864.89,478.45%,609.50%,8.48%
重庆华熙LIVE·鱼洞体育馆,机电,自施,0.00,1354228.31,1394855.1624521962,,0.00,69742.76,6190800.00,6260542.76,462.30%,,
上海腾讯改扩建厂房,机电,自施,43076.73,100692.92,111154.887473735,233.75%,3286.75,7780.84,414823.98,422604.82,419.70%,12857.83%,236.73%
合肥整机智能制造生产线,机电,自施,0.00,513358.88,569479.490569586,,0.00,23063.92,2100000.00,2123063.92,413.56%,,
绵阳京东方第6代AMOLED柔性生产线,机电,自施,0.00,6367208.48,7016765.76202712,,0.00,385922.12,22802460.46,23188382.58,364.18%,,
绵阳京东方第6代AMOLED柔性生产线,土建,自施,0.00,28257377.76,31223495.89733677,,0.00,1717292.27,77197539.54,78914831.81,279.27%,,
北京新机场信息中心,机电,自施,2004307.49,805236.54,845037.4664693717,40.18%,145719.17,56364.00,2000000.00,2056364.00,255.37%,1411.18%,38.68%
无锡恒隆广场办公楼2座,土建,自施,28893702.66,16393544.09,17982254.12773713,56.74%,1732177.47,989023.98,38000000.00,38989023.98,237.83%,2250.87%,57.10%
广州粤芯半导体,机电,自施,0.00,8371865.82,9125333.73908934,,0.00,520144.02,13567233.00,14087377.02,168.27%,,
成都京东方AMOLED工艺技术测试中心,土建,自施,0.00,27764436.60,30635939.60238746,,0.00,1678849.49,35922186.54,37601036.03,135.43%,,
张北阿里巴巴数据中心F栋机电,机电,自施,0.00,2411375.18,2628398.950356651,,0.00,157703.94,3000000.00,3157703.94,130.95%,,
无锡中关村软件园太湖分园二期,土建,自施,9540367.78,9300453.04,10211066.604756426,97.49%,5015098.67,612664.00,11293800.00,11906464.00,128.02%,237.41%,12.22%
福建省晋华集成电路有限公司存储器生产线,土建,自施,37482593.07,69356063.14,76653101.92561355,185.04%,1975765.78,3824989.79,60000000.00,63824989.79,92.03%,3230.39%,193.60%
广州粤芯半导体,机电,指定,0.00,-1308449.67,-1426210.13589748,,0.00,0.00,7573604.79,7573604.79,90.46%,,
无锡鸿坤理想湾,机电,自施,0.00,369427.03,404302.702042995,,0.00,24258.16,193519.33,217777.49,58.95%,,
张北阿里巴巴数据中心机电,机电,指定,0.00,570641.71,621999.463796984,,0.00,0.00,4200000.00,4200000.00,57.95%,,
张北阿里巴巴数据中心机电,机电,自施,0.00,7247015.37,7899246.758270601,,0.00,473954.81,3600000.00,4073954.81,56.22%,,
张北阿里巴巴数据中心机电小二台,机电,自施,9984182.49,8172596.18,8908129.840920681,81.86%,652965.53,534487.79,4015174.41,4549662.20,55.67%,696.77%,81.86%
成都青白江区智慧大道,土建,自施,29707642.46,5202706.31,5739421.409858799,17.51%,4853961.41,860339.27,2000000.00,2860339.27,54.98%,58.93%,17.72%
成都国际铁路港展览中心,机电,自施,0.00,573488.69,630837.560554656,,0.00,37850.25,277264.42,315114.67,54.95%,,
北京太古里改造,机电,自施,3022858.20,3166967.81,3467829.74982913,104.77%,270114.89,277426.38,1411171.89,1688598.27,53.32%,625.14%,102.71%
成都中海·御湖世家,土建,自施,4249611.76,2047466.99,2243440.894708382,48.18%,331715.32,126081.38,940000.00,1066081.38,52.07%,321.38%,38.01%
乌兰察布阿里云计算数据中心,土建,自施,0.00,4596932.45,5010656.370181072,,0.00,300639.38,1500000.00,1800639.38,39.17%,,
无锡欧谱纳轻型燃气机制造,机电,自施,0.00,970938.83,1058323.326843247,,0.00,74082.63,300000.00,374082.63,38.53%,,
合肥整机智能制造生产线,土建,自施,0.00,7174922.20,7937940.231047267,,0.00,321486.58,2400000.00,2721486.58,37.93%,,
北京利星行中心改造,土建,自施,4500000.00,10641804.28,12043288.619972296,236.48%,394500.00,950215.47,3000000.00,3950215.47,37.12%,1001.32%,240.87%
辽宁天士力参茸厂区改造,机电,自施,3801014.96,1127047.95,1245141.13770095,29.65%,295338.86,87159.88,300000.00,387159.88,34.35%,131.09%,29.51%
成都京东方第6代柔性AMOLED触控一体化显示器件,土建,自施,0.00,55155064.94,60119020.78457094,,0.00,3306546.14,15000000.00,18306546.14,33.19%,,
辽宁天士力现代中药示范工厂,土建,自施,17731534.40,12551691.94,13848334.745045952,70.79%,906836.10,623175.06,3533458.08,4156633.14,33.12%,458.37%,68.72%
呼和浩特凯德广场·诺和木勒改造项目机电,机电,自施,12080851.37,6115077.54,6665434.521108128,50.62%,921773.96,466580.42,1511227.03,1977807.45,32.34%,214.57%,50.62%
无锡SK海力士厂房扩建,土建,自施,189333031.17,221483388.71,243853283.57896042,116.98%,12382380.24,14631197.01,57000000.00,71631197.01,32.34%,578.49%,118.16%
广州超视堺第10.5代TFT-LCD显示器件生产线（发展）,机电,自施,0.00,15107613.75,16618375.131349163,,0.00,914010.63,3556700.00,4470710.63,29.59%,,
武汉华星光电t4,土建,自施,0.00,25997145.82,28783050.059697703,,0.00,1726983.00,4996485.22,6723468.22,25.86%,,
大连港湾街二号地块,机电,自施,45365040.48,-3122348.25,-3194344.11567458,-6.88%,11214238.01,-766642.59,0.00,-766642.59,24.55%,-6.84%,-6.84%
成都温江区BLT,机电,自施,12696262.02,771396.32,848535.952249188,6.08%,2234542.12,155706.35,0.00,155706.35,20.18%,6.97%,6.97%
成都青白江区PPP·市政,土建,自施,0.00,2007856.49,2228720.7085367045,,400000.00,401169.73,0.00,401169.73,19.98%,100.29%,100.29%
广州粤芯半导体,土建,指定,0.00,3211009.29,3211009.29,,0.00,0.00,5436666.00,5436666.00,19.98%,,
成都青白江区PPP·市政（发展）,土建,自施,0.00,122221.03,133220.92757417524,,0.00,23979.77,0.00,23979.77,19.62%,,
成都温江区BLT（发展）,机电,自施,,1669098.70,1762568.22228194,,,323431.27,0.00,323431.27,19.38%,,
成都温江区BLT（发展）,土建,自施,,11724022.66,13094831.468782969,,,2168504.09,0.00,2168504.09,18.50%,,
成都温江区BLT,土建,自施,57134018.67,27091770.20,29800947.225334235,47.42%,10979987.29,4935036.86,0.00,4935036.86,18.22%,44.95%,44.95%
九江新建快速路一期,土建,自施,502720917.43,154094181.96,167962658.3327488,30.65%,83016818.70,25446342.74,0.00,25446342.74,16.51%,30.65%,30.65%
天津地铁7号线一期工程PPP项目土建10标段,土建,自施,143748623.85,88407437.67,96364107.0547832,61.50%,23502900.00,14454616.06,0.00,14454616.06,16.35%,61.50%,61.50%
成都青白江区PPP·房建,机电,自施,0.00,13971955.49,15419728.376872981,,0.00,2235860.61,0.00,2235860.61,16.00%,,
成都青白江区PPP·房建,土建,自施,0.00,19453705.40,21468931.00570843,,0.00,3112995.00,0.00,3112995.00,16.00%,,
成都京东方第6代柔性AMOLED触控一体化显示器件,机电,自施,0.00,6995635.03,7625242.1856823005,,0.00,533766.95,581920.89,1115687.84,15.95%,,
成都黄甲尚善居C区,机电,自施,5438572.66,4798346.24,5278180.864357714,88.23%,798654.40,704637.15,0.00,704637.15,14.69%,88.23%,88.23%
成都香榭林居二期,机电,自施,23555126.04,12452025.80,13697228.383274836,52.86%,3490516.35,1828579.99,0.00,1828579.99,14.69%,52.39%,52.39%
成都香榭林居二期,土建,自施,142045676.62,81342201.01,89476421.11680335,57.26%,21049038.59,11945102.22,0.00,11945102.22,14.69%,56.75%,56.75%
成都黄甲尚善居C区,土建,自施,31450225.51,45884173.98,50472591.381062575,145.89%,4618465.62,6738090.95,0.00,6738090.95,14.69%,145.89%,145.89%
成都金堂县五凤镇新型城镇化PPP项目,机电,自施,26058478.52,699484.65,769433.1124677194,2.68%,3408448.99,99179.93,0.00,99179.93,14.18%,2.91%,2.91%
成都金堂县五凤镇新型城镇化PPP（集团）,土建,自施,62247706.42,12371118.08,13608229.89056895,19.87%,10177500.00,1754100.83,0.00,1754100.83,14.18%,17.24%,17.24%
成都金堂县五凤镇新型城镇化PPP项目,土建,自施,119269685.32,35493181.78,39030601.130368665,29.76%,15600475.01,5031044.49,0.00,5031044.49,14.17%,32.25%,32.25%
无锡欧谱纳轻型燃气机制造,土建,自施,2840082.09,8460843.76,9222319.693690106,297.91%,170262.92,507227.58,668800.00,1176027.58,13.90%,690.71%,297.91%
北京环球主题公园,土建,自施,16964513.92,28966244.75,31613944.89165115,170.75%,2218958.42,3793673.39,0.00,3793673.39,13.10%,170.97%,170.97%
北京环球主题公园,机电,自施,74707238.79,26755417.57,29185136.7623257,35.81%,9771706.83,3502216.41,0.00,3502216.41,13.09%,35.84%,35.84%
北京西城区金融大街9号商业办公扩建（总承包）,土建,自施,,134665.22,138705.18120190504,,,17573.95,0.00,17573.95,13.05%,,
复兴门内危改区4·2号地项目空调系统工程,机电,自施,0.00,865046.06,867592.1315922,,0.00,111051.79,0.00,111051.79,12.84%,,
望京办公楼二期,机电,自施,6549283.57,4672984.06,5094059.92358318,71.35%,802392.03,572572.34,0.00,572572.34,12.25%,71.36%,71.36%
北京环球度假区,机电,自施,1519938.00,1879091.09,2052427.0899677475,123.63%,182240.57,225766.98,0.00,225766.98,12.01%,123.88%,123.88%
北汽动力总成基地项目（一期）二标段,土建,自施,0.00,-38728010.64,-38763589.45694209,,0.00,-4574103.56,0.00,-4574103.56,11.81%,,
北京大兴国际机场噪声区安置房,机电,自施,64220183.49,33383048.37,36387522.72439375,51.98%,7490000.00,3893464.93,0.00,3893464.93,11.66%,51.98%,51.98%
北京环球度假区,土建,自施,11187171.24,18798116.53,20516566.61573958,168.03%,1266958.33,2131671.27,0.00,2131671.27,11.34%,168.25%,168.25%
北京环球度假区（集团）,土建,自施,5918654.81,1428429.75,1558416.8581865674,24.13%,451593.36,161919.51,0.00,161919.51,11.34%,35.86%,35.86%
成都成华区跳蹬河南路9号新建商品住宅项目一期,机电,自施,23835463.71,41287932.05,45003845.93651119,173.22%,2598065.54,4635396.13,0.00,4635396.13,11.23%,178.42%,178.42%
