项目编码,项目名称,商务开累产值不含税,商务开累产值含税,商务本年产值不含税,商务本年产值含税,商务开累成本,商务本年成本
U_ORG_XM_AHWHYJSYY,安徽芜湖皖南医学院弋矶山医院,178013718.39253575,195815090.2291389,34083635.07339187,37491998.58049908,168980500.04664677,32589596.66402534
U_ORG_XM_AHZWCF,安徽忠旺厂房,0,0,-127750,-127750,0,-127750
U_ORG_XM_AJXXZSDCBDXMP4BD,埃及新行政首都CBD项目P4标段,791399000,791399000,132314100,132314100,,
U_ORG_XM_ASJGS,鞍山市公安局监管场所新建,69694956.640961,75967502.7386549,69314685.4417023,75553007.13146292,68482592.66999999,68108949.33999999
U_ORG_XM_BDFZJXL,北京大学新建附属中学北校区综合教学楼,197428416.61687154,215196974.10446852,-719525.0010854967,-784282.2511117442,193838802.60000002,-698197.8299999997
U_ORG_XM_BDKYL,北京大学教学科研楼,204818450.52870503,207634797.31030852,13467617.574562237,13688341.045677196,197116409.83000004,12965081.850000003
U_ORG_XM_BDTSGGZ,北京大学图书馆改造,150117490.20802492,164423722.11107346,6550265.781281331,7166044.786400553,147654910.37,6396439.250000002
U_ORG_XM_BJAZKYL,北京A座科研楼,13270686.97873255,14597755.669505334,0,0,12685989.09,0
U_ORG_XM_BJCBDSYJR,北京市CBD核心区Z2b地块商业金融,1746851160.977559,1799256695.8182611,60603050.83371799,62421142.360035285,1733949817.5676596,60086481.47
U_ORG_XM_BJDCBGLGKJ,北京东城办公楼改扩建,165514861.60107255,179980434.14678836,86346624.54386501,93923422.96811108,156295649.26797637,82730761.5588764
U_ORG_XM_BJDXHXYEQDL,北京大学化学学院E区大楼,66836631.686875835,72851928.53320518,27935706.595512446,30449920.186689235,65189810.148,27246133.867999997
U_ORG_XM_BJFSHFZYGY,北京房山华发中央公园,262264576.70357707,285868388.6095913,145227634.06342328,158298121.12946945,249879621.85376948,139283660.4837695
U_ORG_XM_BJFSLHXYTJ,北京房山龙湖熙悦天街,460549531.3697723,503181837.32795906,15632087.686107593,17070182.98454304,435891277.15320003,14722787.089999998
U_ORG_XM_BJFZDSZX,北京凤展大厦装修工程,4267243.3779038545,4693967.718690389,0,0,4013754.41,0
U_ORG_XM_BJFZKYLJD,北京纺织科研楼实验楼机电,77951314.97714624,85016525.36739329,5509995.325603051,6009400.322633269,75715979.82,5351990.47
U_ORG_XM_BJGAZXGZ,北京港澳中心改造,305750835.63584095,333268410.8345622,146265174.25901148,159429039.9371363,300603017.12916344,144047359.51999998
U_ORG_XM_BJGJKJCBZX,北京国家科技传播中心,310279984.18914145,338651862.8517814,83129718.82980928,90721491.78198309,265214795.3219202,71975888.74
U_ORG_XM_BJGLYSQ03_31,北京高丽营三期03-31地块,679226982.2926805,743389421.0323201,-4882282.747960044,-5353990.806463873,615010978.97,-4305380.369999997
U_ORG_XM_BJGMGYGZ,北京国贸公寓改造,149906323.85244697,164255771.62181464,11866443.391852025,13068369.868901799,147147784.02120447,11665083.389999999
U_ORG_XM_BJHPC,北京和平村,428165683.432176,475263908.623748,38551140.733288124,42791766.218477815,411998737.30999994,37391472.900000006
U_ORG_XM_BJHQDJQJT,北京环球度假区（集团）,24842310.7549631,27183557.17718781,1407567.5694752,1535656.2182771158,24660849.490000002,1395457.54
U_ORG_XM_BJHQGYDJQ,北京环球度假区,708272494.0963187,772577486.6139104,52100392.31583163,56812611.586974226,702581837.9961805,51851440.71939772
U_ORG_XM_BJHQNYZX,北京环球能源中心,251913724.93950415,273807408.7017061,19854042.082170565,21558683.680890493,238121350.64999998,19019725.47
U_ORG_XM_BJHQZTGY,北京环球主题公园,1228739088.0915544,1340509370.0632215,106579385.8880985,116268596.13721518,1194075144.3511996,104271122.42400002
U_ORG_XM_BJHRZGCCZZ,北京怀柔张各长村住宅,401411718.82560015,437429784.8973212,38191994.01779758,40998784.032227926,395772219.90999997,37824744.45
U_ORG_XM_BJHSMZXGZ,北京火神庙商业中心改造,292910658.889638,322832843.0788064,32659439.229286835,36128728.10276857,289253371.350908,32250909.299999993
U_ORG_XM_BJJCBDT,北京精测半导体设备及准分子激光器,44700164.24603927,48723179.027300425,44700164.24603927,48723179.027300425,44434904.97,44434904.97
U_ORG_XM_BJJGMBGLGJ,北京建国门办公楼改建工程,73037286.10290542,79978170.79465564,30880668.233457524,33675281.38756814,71640766.6084466,30581877.279999997
U_ORG_XM_BJKTDX,北京凯特大厦,396018198.186296,399898514.6090593,-12169378.563955732,-11820976.857441261,388343814.0500001,-12858437.969999995
U_ORG_XM_BJLZJRSWQJ,北京丽泽金融商务区E区13、14地块项目[局集团],493349473.851867,498996179.7505635,9130237.192778947,9199306.596712926,484434716.92145634,8930915.030000001
U_ORG_XM_BJNHHS,北京新机场南航航空食品设施,658817992.6797836,727599218.0369217,5896515.954512019,6503471.378703747,643051868.6789999,5754373.33
U_ORG_XM_BJODBSMZX,北京欧德宝商贸中心,136127631.16624498,149542954.73958552,3378920.1176470686,3716812.1319689155,132013107.27800022,3198571.4272005004
U_ORG_XM_BJPAE05DK,北京平安金融中心E05地块,608510688.9401,666317753.9373225,5049398.332954309,5529086.39849231,606323728.95,5034341.259999994
U_ORG_XM_BJQMCQGZ,北京前门B2B3地块重启后改造工程,17950328.100136478,19565857.621053167,4737996.082682434,5164415.727987017,17622166.27,4651377.640000001
U_ORG_XM_BJSKWKJD,北京首开万科天地机电,23919134.672356803,24636708.7170206,6452547.150728008,6646123.566461927,23719683.610000003,6398742.22
U_ORG_XM_BJSMYJSKJ,北京生命科学研究所扩建,276801953.64031655,277814501.92688674,40721932.03614787,40783683.11796871,273133749.6999999,40199233.91
U_ORG_XM_BJSYHSYGYCQF,北京顺义后沙峪共有产权房,556948112.8275272,607073442.9771293,229285962.99019313,249921699.65729535,554331299.4882312,228544375.44440004
U_ORG_XM_BJSYMTZ,北京顺义马头庄,774160731.8728628,845386780.0372438,86255277.49230374,94319256.86244449,753882900.6980404,83905284.0263
U_ORG_XM_BJTGLGZ,北京太古里改造,131667146.64787011,144226818.2462515,81373.52625824262,89404.65466258966,130674675.66999996,80334.04999999981
U_ORG_XM_BJTKSQ,北京泰康之家燕园三期,55621477.708127566,60627410.70209243,55621477.708127566,60627410.70209243,55065262.93,55065262.93
U_ORG_XM_BJTLDYQ,北京天利德一期厂房,17386259.294510745,17560725.742222134,3598089.2722015814,3634268.7301903423,16696246.780000001,3456009.62
U_ORG_XM_BJTZWG,北京通州网络安全技术研发厂房,123704904.31380627,134838345.7010183,123704904.31380627,134838345.7010183,122946396.13,122946396.13
U_ORG_XM_BJWJBGLSQ,北京望京办公楼三期,216136122.9566368,237950890.67692205,21998320.36432559,24224607.232612133,214534729.68000004,21840705.950000003
U_ORG_XM_BJWKFCGYJD,北京万科翡翠公园机电,17339760.56306517,18855354.46378041,11200.984685238045,12180.014586441637,16698780.390000002,10786.929999999935
U_ORG_XM_BJWKQXS,北京万科七橡墅,537899730.7455131,585791174.5811733,41265496.36954337,44932338.31282921,497992275.2002313,38490716.63106195
U_ORG_XM_BJWKWX,北京万科望溪,247728380.68229312,270023934.9468532,61932014.91488904,67505896.25778066,244599781.86,61066987.99999999
U_ORG_XM_BJWKZYC,北京祥筑万科长阳中央城,161386866.24804184,164113530.45144868,354680.1713552538,361067.8697624565,158479750.30999997,348085.04000000656
U_ORG_XM_BJWLCXX,北京未来城学校,52751154.63448636,57498758.55475757,23232072.56717211,25322959.09961257,52498101.09000001,23120625.559999995
U_ORG_XM_BJWLCXXZB,北京未来城学校总承包,235286173.79501998,256082992.16289917,235286173.79501998,256082992.16289917,230992259.91300002,230992259.91300002
U_ORG_XM_BJXHFTFKT,北京西华府商办楼通风空调工程,32060097.40796567,33021900.328831937,1152968.843416594,1187557.908669726,31546839.1,1134510.67
U_ORG_XM_BJXJCGL,北京新机场道路及综合管廊,413318824.3630746,458107741.4275327,57047899.39167662,63313018.90966194,399693874.21974766,55130641.78000001
U_ORG_XM_BJXSJDAZF,北京香山军队安置房,246436089.9499297,273544059.8193408,20725143.925381284,23004909.835907437,241700176.88136888,20178684.979999993
U_ORG_XM_BJXXCXY,中国电信北京信息科技创新园工程,136133545.81371254,136133545.81371254,0,0,121926683.18,0
U_ORG_XM_BJXXCXYEQ,中国电信北京信息科技创新园科研数据中心,162802795.5037888,179505052.30518645,49390289.477662876,51929274.293225825,159566147.13099998,48987291.099999994
U_ORG_XM_BJXYDHLWJD,北京新一代互联网云计算产创基地机电,78644791.29238267,85722822.51209551,33277747.12936091,36272744.37244138,78065452.7,33032605.87
U_ORG_XM_BJYCCF,北京盈创2#厂房等5项,147741321.5845568,161435339.7931941,7468351.942366909,8167694.869510371,145802876.42000002,7324702.620000001
U_ORG_XM_BJYDHHHLJZL,北京永定河混合垃圾治理,21328746.669281285,23248333.866328444,21254.98656775231,23167.935355672882,20966276.59,20893.77000000002
U_ORG_XM_BJYYYH,北京远洋瀛海,779795283.5735898,850014076.4104433,94784453.55977044,103380257.90864722,771536016.144128,93847648.39000002
U_ORG_XM_BJZ12TKJD,北京Z12泰康大厦机电工程,219333036.93918326,225913028.09614977,24047145.48996593,24768559.86441344,202892774.93000004,22392454.279999997
U_ORG_XM_BJZCCF,北京中钞厂房,304603085.06089306,335063393.61739993,65827406.32607041,72410146.9692123,299577061.734,64759270.739999995
U_ORG_XM_BJZGYD,北京中国移动博瑞琪大厦装修改造,20416994.516475964,22254524.023146637,20416994.516475964,22254524.023146637,20270686,20270686
U_ORG_XM_BJZSJD,北京招商嘉铭酒店,2900930.950937814,3220033.3575737625,0,0,2566080.45,0
U_ORG_XM_BJZXZS,北京中芯北方BO2剩余楼层装修,35366998.49242677,38550028.35876226,35366998.49242677,38550028.35876226,35171139.99,35171139.99
U_ORG_XM_BQDLZCJD,北汽动力总成基地项目（一期）二标段,671827536.5498607,677913815.1372571,231171.6955773065,231784.55679349747,662158192.4599999,232740.94000000955
U_ORG_XM_BQSTLGZF,北京顺义新城第4街区保障性住房,449836941.6714823,496032813.35946506,48837280.743365124,53929030.44439202,434217042.78999996,47429810.60000001
U_ORG_XM_BZDERMYY,山东滨州第二人民医院西院区,178425755.1646053,194484073.13189563,86552288.09300274,94341994.02222124,178063085.80875978,86350989.4187598
U_ORG_XM_BZGZSYXX,巴中光正实验学校,139259371.61797732,153185308.777978,561886.8874114917,618075.5761504935,138173631.72547176,557131.8499999986
U_ORG_XM_BZSYLXQ,霸州市云庐小区住宅,143727309.59306467,156662767.45406395,60239468.30662359,65661020.45294916,134375733.13797265,56308462.60271789
U_ORG_XM_CDCHQSPZZ,成都成华区跳蹬河南路9号新建商品住宅项目一期,196945193.7653448,214670261.2038614,113626770.4655728,123853179.80737287,189481645.86549994,109590617.74000001
U_ORG_XM_CDDJBX,成都大家保险金融广场机电,14344006.102862976,15634966.65169673,14344006.102862976,15634966.65169673,14326321.32,14326321.32
U_ORG_XM_CDDYHQJBZ,成都大运会安居保障EPC,194201.86687608968,211680.03489450144,194201.86687608968,211680.03489450144,194080,194080
U_ORG_XM_CDGJTLGZLZX,成都国际铁路港展览中心,13167512.280025035,14484263.510790471,-359344.8104323711,-395279.2912757929,12985315.46,-354271.38
U_ORG_XM_CDHJSSJ,成都黄甲尚善居C区,508398333.3540231,559238166.736748,39153114.60212561,43068426.065627225,475468480.5413643,36586296.20446602
U_ORG_XM_CDJDF6DX,成都京东方第6代生产线,2078743725.357272,2124984125.0930207,9826579.593776805,10045165.9269368,1730526536.7199993,8344074.769999996
U_ORG_XM_CDJDFCK,成都京东方第6代柔性AMOLED触控一体化显示器件,394806886.18383425,432935574.83545023,28035887.598600194,30798670.206752226,393564006.8983862,27936021.655631073
U_ORG_XM_CDJDFCKFZ,成都京东方第6代柔性AMOLED触控一体化显示器件（发展）,7583312.570423301,8265810.699988039,287933.0795825262,313847.0565396739,7400609.80213592,275132.80213592004
